
Began Switching at 2020-02-13 01:23:46
2020-02-13 01:23:48 Reading Soil Box #3
2020-02-13 01:23:48 Reading Soil Box #4
2020-02-13 01:23:48 Reading Soil Box #1
2020-02-13 01:23:48 Reading Soil Box #2
2020-02-13 01:23:48 Reading Soil Box #3
2020-02-13 01:23:48 Reading Soil Box #4
2020-02-13 01:23:48 Reading Soil Box #1
2020-02-13 01:23:48 Reading Soil Box #2
2020-02-13 01:23:48 Reading Soil Box #3
2020-02-13 01:23:48 Reading Soil Box #4
2020-02-13 01:23:48 Reading Soil Box #1
2020-02-13 01:23:48 Reading Soil Box #2
2020-02-13 01:23:48 Reading Soil Box #3
2020-02-13 01:23:48 Reading Soil Box #4
2020-02-13 01:23:48 Reading Soil Box #1
2020-02-13 01:23:48 Reading Soil Box #2
2020-02-13 01:23:48 Reading Soil Box #3
2020-02-13 01:23:48 Reading Soil Box #4
2020-02-13 01:23:48 Reading Soil Box #1
2020-02-13 01:23:48 Reading Soil Box #2
2020-02-13 01:23:48 Reading Soil Box #3
2020-02-13 01:23:48 Reading Soil Box #4
2020-02-13 01:23:48 Reading Soil Box #1
2020-02-13 01:23:48 Reading Soil Box #2

Began Switching at 2020-02-13 01:29:36
2020-02-13 01:29:36 Reading Soil Box #1
2020-02-13 01:29:37 Reading Soil Box #2
2020-02-13 01:29:38 Reading Soil Box #3
2020-02-13 01:29:39 Reading Soil Box #4
2020-02-13 01:29:40 Reading Soil Box #1
2020-02-13 01:29:41 Reading Soil Box #2
2020-02-13 01:29:42 Reading Soil Box #3
2020-02-13 01:29:43 Reading Soil Box #4
2020-02-13 01:29:44 Reading Soil Box #1
2020-02-13 01:29:45 Reading Soil Box #2
2020-02-13 01:29:46 Reading Soil Box #3
2020-02-13 01:29:47 Reading Soil Box #4
2020-02-13 01:29:48 Reading Soil Box #1
2020-02-13 01:29:49 Reading Soil Box #2
2020-02-13 01:29:50 Reading Soil Box #3
2020-02-13 01:29:51 Reading Soil Box #4
2020-02-13 01:29:52 Reading Soil Box #1
2020-02-13 01:29:53 Reading Soil Box #2
2020-02-13 01:29:54 Reading Soil Box #3
2020-02-13 01:29:55 Reading Soil Box #4
2020-02-13 01:29:56 Reading Soil Box #1
2020-02-13 01:29:57 Reading Soil Box #2
2020-02-13 01:29:58 Reading Soil Box #3
2020-02-13 01:29:59 Reading Soil Box #4
2020-02-13 01:30:00 Reading Soil Box #1
Program Terminated at 2020-02-13 01:30:01
Elapsed Time: 24.858 seconds

Began Switching at 2020-02-13 01:33:19
2020-02-13 01:33:19 Reading Soil Box #1
2020-02-13 01:33:20 Reading Soil Box #2
2020-02-13 01:33:20 Reading Soil Box #3
2020-02-13 01:33:21 Reading Soil Box #4
2020-02-13 01:33:22 Reading Soil Box #1
2020-02-13 01:33:22 Reading Soil Box #2
2020-02-13 01:33:23 Reading Soil Box #3
2020-02-13 01:33:23 Reading Soil Box #4
2020-02-13 01:33:24 Reading Soil Box #1
2020-02-13 01:33:24 Reading Soil Box #2
2020-02-13 01:33:25 Reading Soil Box #3
2020-02-13 01:33:25 Reading Soil Box #4
2020-02-13 01:33:26 Reading Soil Box #1
2020-02-13 01:33:26 Reading Soil Box #2
2020-02-13 01:33:27 Reading Soil Box #3
2020-02-13 01:33:27 Reading Soil Box #4
2020-02-13 01:33:28 Reading Soil Box #1
2020-02-13 01:33:28 Reading Soil Box #2
2020-02-13 01:33:29 Reading Soil Box #3
2020-02-13 01:33:29 Reading Soil Box #4
2020-02-13 01:33:30 Reading Soil Box #1
2020-02-13 01:33:30 Reading Soil Box #2
2020-02-13 01:33:31 Reading Soil Box #3
2020-02-13 01:33:31 Reading Soil Box #4
2020-02-13 01:33:32 Reading Soil Box #1
2020-02-13 01:33:33 Reading Soil Box #2
2020-02-13 01:33:33 Reading Soil Box #3
2020-02-13 01:33:34 Reading Soil Box #4
2020-02-13 01:33:34 Reading Soil Box #1
2020-02-13 01:33:35 Reading Soil Box #2
2020-02-13 01:33:35 Reading Soil Box #3
2020-02-13 01:33:36 Reading Soil Box #4
Program Terminated at 2020-02-13 01:33:36
Elapsed Time: 16.592 seconds

Began Switching at 2020-02-13 01:34:44
2020-02-13 01:34:44 Reading Soil Box #1
2020-02-13 01:34:44 Reading Soil Box #2
2020-02-13 01:34:45 Reading Soil Box #3
2020-02-13 01:34:45 Reading Soil Box #4
2020-02-13 01:34:46 Reading Soil Box #1
2020-02-13 01:34:46 Reading Soil Box #2
2020-02-13 01:34:47 Reading Soil Box #3
2020-02-13 01:34:47 Reading Soil Box #4
2020-02-13 01:34:48 Reading Soil Box #1
2020-02-13 01:34:48 Reading Soil Box #2
2020-02-13 01:34:49 Reading Soil Box #3
2020-02-13 01:34:49 Reading Soil Box #4
2020-02-13 01:34:50 Reading Soil Box #1
2020-02-13 01:34:50 Reading Soil Box #2
2020-02-13 01:34:51 Reading Soil Box #3
2020-02-13 01:34:51 Reading Soil Box #4
2020-02-13 01:34:52 Reading Soil Box #1
2020-02-13 01:34:52 Reading Soil Box #2
2020-02-13 01:34:53 Reading Soil Box #3
2020-02-13 01:34:53 Reading Soil Box #4
2020-02-13 01:34:54 Reading Soil Box #1
2020-02-13 01:34:54 Reading Soil Box #2
2020-02-13 01:34:55 Reading Soil Box #3
2020-02-13 01:34:55 Reading Soil Box #4
2020-02-13 01:34:56 Reading Soil Box #1
2020-02-13 01:34:56 Reading Soil Box #2
2020-02-13 01:34:57 Reading Soil Box #3
2020-02-13 01:34:57 Reading Soil Box #4
2020-02-13 01:34:58 Reading Soil Box #1
2020-02-13 01:34:58 Reading Soil Box #2
2020-02-13 01:34:59 Reading Soil Box #3
2020-02-13 01:34:59 Reading Soil Box #4
2020-02-13 01:35:00 Reading Soil Box #1
2020-02-13 01:35:00 Reading Soil Box #2
2020-02-13 01:35:01 Reading Soil Box #3
2020-02-13 01:35:01 Reading Soil Box #4
2020-02-13 01:35:02 Reading Soil Box #1
2020-02-13 01:35:02 Reading Soil Box #2
2020-02-13 01:35:03 Reading Soil Box #3
2020-02-13 01:35:03 Reading Soil Box #4
2020-02-13 01:35:04 Reading Soil Box #1
2020-02-13 01:35:04 Reading Soil Box #2
2020-02-13 01:35:05 Reading Soil Box #3
2020-02-13 01:35:05 Reading Soil Box #4
2020-02-13 01:35:06 Reading Soil Box #1
2020-02-13 01:35:06 Reading Soil Box #2
2020-02-13 01:35:07 Reading Soil Box #3
2020-02-13 01:35:07 Reading Soil Box #4
2020-02-13 01:35:08 Reading Soil Box #1
2020-02-13 01:35:08 Reading Soil Box #2
2020-02-13 01:35:09 Reading Soil Box #3
2020-02-13 01:35:09 Reading Soil Box #4
2020-02-13 01:35:10 Reading Soil Box #1
2020-02-13 01:35:10 Reading Soil Box #2
2020-02-13 01:35:11 Reading Soil Box #3
2020-02-13 01:35:11 Reading Soil Box #4
2020-02-13 01:35:12 Reading Soil Box #1
2020-02-13 01:35:12 Reading Soil Box #2
2020-02-13 01:35:13 Reading Soil Box #3
Program Terminated at 2020-02-13 01:35:14
Elapsed Time: 29.601 seconds

Began Switching at 2020-02-13 01:36:02
2020-02-13 01:36:02 Reading Soil Box #1
2020-02-13 01:36:03 Reading Soil Box #2
2020-02-13 01:36:03 Reading Soil Box #3
Program Terminated at 2020-02-13 01:36:04
Elapsed Time: 1.429 seconds

Began Switching at 2020-02-13 01:38:17
2020-02-13 01:38:17 Reading Soil Box #1
2020-02-13 01:38:18 Reading Soil Box #2
2020-02-13 01:38:18 Reading Soil Box #3
2020-02-13 01:38:19 Reading Soil Box #4
2020-02-13 01:38:19 Reading Soil Box #1
2020-02-13 01:38:20 Reading Soil Box #2
2020-02-13 01:38:20 Reading Soil Box #3
2020-02-13 01:38:21 Reading Soil Box #4
2020-02-13 01:38:21 Reading Soil Box #1
2020-02-13 01:38:22 Reading Soil Box #2
2020-02-13 01:38:22 Reading Soil Box #3
2020-02-13 01:38:23 Reading Soil Box #4
2020-02-13 01:38:23 Reading Soil Box #1
2020-02-13 01:38:24 Reading Soil Box #2
2020-02-13 01:38:24 Reading Soil Box #3
2020-02-13 01:38:25 Reading Soil Box #4
2020-02-13 01:38:25 Reading Soil Box #1
2020-02-13 01:38:26 Reading Soil Box #2
2020-02-13 01:38:26 Reading Soil Box #3
2020-02-13 01:38:27 Reading Soil Box #4
2020-02-13 01:38:27 Reading Soil Box #1
2020-02-13 01:38:28 Reading Soil Box #2
2020-02-13 01:38:28 Reading Soil Box #3
2020-02-13 01:38:29 Reading Soil Box #4
2020-02-13 01:38:29 Reading Soil Box #1
2020-02-13 01:38:30 Reading Soil Box #2
2020-02-13 01:38:30 Reading Soil Box #3
2020-02-13 01:38:31 Reading Soil Box #4
2020-02-13 01:38:31 Reading Soil Box #1
2020-02-13 01:38:32 Reading Soil Box #2
2020-02-13 01:38:32 Reading Soil Box #3
2020-02-13 01:38:33 Reading Soil Box #4
2020-02-13 01:38:33 Reading Soil Box #1
2020-02-13 01:38:34 Reading Soil Box #2
2020-02-13 01:38:34 Reading Soil Box #3
2020-02-13 01:38:35 Reading Soil Box #4
2020-02-13 01:38:35 Reading Soil Box #1
2020-02-13 01:38:36 Reading Soil Box #2
2020-02-13 01:38:36 Reading Soil Box #3
2020-02-13 01:38:37 Reading Soil Box #4
2020-02-13 01:38:37 Reading Soil Box #1
2020-02-13 01:38:38 Reading Soil Box #2
2020-02-13 01:38:38 Reading Soil Box #3
2020-02-13 01:38:39 Reading Soil Box #4
2020-02-13 01:38:39 Reading Soil Box #1
2020-02-13 01:38:40 Reading Soil Box #2
2020-02-13 01:38:40 Reading Soil Box #3
2020-02-13 01:38:41 Reading Soil Box #4
2020-02-13 01:38:41 Reading Soil Box #1
2020-02-13 01:38:42 Reading Soil Box #2
2020-02-13 01:38:42 Reading Soil Box #3
2020-02-13 01:38:43 Reading Soil Box #4
2020-02-13 01:38:43 Reading Soil Box #1
2020-02-13 01:38:44 Reading Soil Box #2
2020-02-13 01:38:44 Reading Soil Box #3
2020-02-13 01:38:45 Reading Soil Box #4
2020-02-13 01:38:45 Reading Soil Box #1
2020-02-13 01:38:46 Reading Soil Box #2
2020-02-13 01:38:46 Reading Soil Box #3
2020-02-13 01:38:47 Reading Soil Box #4
2020-02-13 01:38:47 Reading Soil Box #1
2020-02-13 01:38:48 Reading Soil Box #2
2020-02-13 01:38:48 Reading Soil Box #3
2020-02-13 01:38:49 Reading Soil Box #4
2020-02-13 01:38:49 Reading Soil Box #1
2020-02-13 01:38:50 Reading Soil Box #2
2020-02-13 01:38:50 Reading Soil Box #3
2020-02-13 01:38:51 Reading Soil Box #4
2020-02-13 01:38:51 Reading Soil Box #1
2020-02-13 01:38:52 Reading Soil Box #2
2020-02-13 01:38:52 Reading Soil Box #3
2020-02-13 01:38:53 Reading Soil Box #4
2020-02-13 01:38:53 Reading Soil Box #1
Program Terminated at 2020-02-13 01:38:54
Elapsed Time: 36.476 seconds

Began Switching at 2020-02-13 02:31:47
2020-02-13 02:31:47 Reading Soil Box #1
2020-02-13 02:31:48 Reading Soil Box #2
2020-02-13 02:31:48 Reading Soil Box #3
2020-02-13 02:31:49 Reading Soil Box #4
2020-02-13 02:31:49 Reading Soil Box #1
Program Terminated at 2020-02-13 02:31:50
Elapsed Time: 2.515 seconds

Began Switching at 2020-02-13 02:50:05
2020-02-13 02:50:05 Reading Soil Box #1
2020-02-13 02:50:05 Reading Soil Box #2
2020-02-13 02:50:06 Reading Soil Box #3
Program Terminated at 2020-02-13 02:50:06
Elapsed Time: 1.522 seconds

Began Switching at 2020-02-13 02:50:44
2020-02-13 02:50:44 Reading Soil Box #1
2020-02-13 02:50:44 Reading Soil Box #2
2020-02-13 02:50:45 Reading Soil Box #3
2020-02-13 02:50:45 Reading Soil Box #4
2020-02-13 02:50:45 Reading Soil Box #1
2020-02-13 02:50:45 Reading Soil Box #2
2020-02-13 02:50:46 Reading Soil Box #3
2020-02-13 02:50:46 Reading Soil Box #4
2020-02-13 02:50:46 Reading Soil Box #1
2020-02-13 02:50:46 Reading Soil Box #2
2020-02-13 02:50:47 Reading Soil Box #3
2020-02-13 02:50:47 Reading Soil Box #4
2020-02-13 02:50:47 Reading Soil Box #1
2020-02-13 02:50:47 Reading Soil Box #2
2020-02-13 02:50:48 Reading Soil Box #3
2020-02-13 02:50:48 Reading Soil Box #4
2020-02-13 02:50:48 Reading Soil Box #1
2020-02-13 02:50:48 Reading Soil Box #2
2020-02-13 02:50:49 Reading Soil Box #3
2020-02-13 02:50:49 Reading Soil Box #4
2020-02-13 02:50:49 Reading Soil Box #1
2020-02-13 02:50:49 Reading Soil Box #2
2020-02-13 02:50:50 Reading Soil Box #3
2020-02-13 02:50:50 Reading Soil Box #4
2020-02-13 02:50:50 Reading Soil Box #1
2020-02-13 02:50:50 Reading Soil Box #2
2020-02-13 02:50:51 Reading Soil Box #3
2020-02-13 02:50:51 Reading Soil Box #4
2020-02-13 02:50:51 Reading Soil Box #1
2020-02-13 02:50:51 Reading Soil Box #2
2020-02-13 02:50:52 Reading Soil Box #3
2020-02-13 02:50:52 Reading Soil Box #4
2020-02-13 02:50:52 Reading Soil Box #1
2020-02-13 02:50:52 Reading Soil Box #2
2020-02-13 02:50:53 Reading Soil Box #3
2020-02-13 02:50:53 Reading Soil Box #4
2020-02-13 02:50:53 Reading Soil Box #1
2020-02-13 02:50:53 Reading Soil Box #2
2020-02-13 02:50:54 Reading Soil Box #3
2020-02-13 02:50:54 Reading Soil Box #4
2020-02-13 02:50:54 Reading Soil Box #1
2020-02-13 02:50:54 Reading Soil Box #2
2020-02-13 02:50:55 Reading Soil Box #3
2020-02-13 02:50:55 Reading Soil Box #4
2020-02-13 02:50:55 Reading Soil Box #1
2020-02-13 02:50:55 Reading Soil Box #2
2020-02-13 02:50:56 Reading Soil Box #3
2020-02-13 02:50:56 Reading Soil Box #4
2020-02-13 02:50:56 Reading Soil Box #1
2020-02-13 02:50:56 Reading Soil Box #2
2020-02-13 02:50:57 Reading Soil Box #3
2020-02-13 02:50:57 Reading Soil Box #4
2020-02-13 02:50:57 Reading Soil Box #1
2020-02-13 02:50:57 Reading Soil Box #2
2020-02-13 02:50:58 Reading Soil Box #3
2020-02-13 02:50:58 Reading Soil Box #4
2020-02-13 02:50:58 Reading Soil Box #1
2020-02-13 02:50:58 Reading Soil Box #2
2020-02-13 02:50:59 Reading Soil Box #3
2020-02-13 02:50:59 Reading Soil Box #4
2020-02-13 02:50:59 Reading Soil Box #1
2020-02-13 02:50:59 Reading Soil Box #2
2020-02-13 02:51:00 Reading Soil Box #3
2020-02-13 02:51:00 Reading Soil Box #4
2020-02-13 02:51:00 Reading Soil Box #1
2020-02-13 02:51:00 Reading Soil Box #2
2020-02-13 02:51:01 Reading Soil Box #3
2020-02-13 02:51:01 Reading Soil Box #4
2020-02-13 02:51:01 Reading Soil Box #1
2020-02-13 02:51:01 Reading Soil Box #2
2020-02-13 02:51:02 Reading Soil Box #3
2020-02-13 02:51:02 Reading Soil Box #4
2020-02-13 02:51:02 Reading Soil Box #1
2020-02-13 02:51:02 Reading Soil Box #2
2020-02-13 02:51:03 Reading Soil Box #3
2020-02-13 02:51:03 Reading Soil Box #4
2020-02-13 02:51:03 Reading Soil Box #1
2020-02-13 02:51:03 Reading Soil Box #2
2020-02-13 02:51:04 Reading Soil Box #3
2020-02-13 02:51:04 Reading Soil Box #4
2020-02-13 02:51:04 Reading Soil Box #1
2020-02-13 02:51:04 Reading Soil Box #2
2020-02-13 02:51:05 Reading Soil Box #3
2020-02-13 02:51:05 Reading Soil Box #4
2020-02-13 02:51:05 Reading Soil Box #1
2020-02-13 02:51:05 Reading Soil Box #2
2020-02-13 02:51:06 Reading Soil Box #3
2020-02-13 02:51:06 Reading Soil Box #4
2020-02-13 02:51:06 Reading Soil Box #1
2020-02-13 02:51:06 Reading Soil Box #2
2020-02-13 02:51:07 Reading Soil Box #3
2020-02-13 02:51:07 Reading Soil Box #4
2020-02-13 02:51:07 Reading Soil Box #1
2020-02-13 02:51:07 Reading Soil Box #2
2020-02-13 02:51:08 Reading Soil Box #3
2020-02-13 02:51:08 Reading Soil Box #4
2020-02-13 02:51:08 Reading Soil Box #1
Program Terminated at 2020-02-13 02:51:08
Elapsed Time: 24.063 seconds

Began Switching at 2020-02-13 02:52:50
2020-02-13 02:52:50 Reading Soil Box #1
2020-02-13 02:52:50 Reading Soil Box #2
2020-02-13 02:52:50 Reading Soil Box #3
2020-02-13 02:52:51 Reading Soil Box #4
2020-02-13 02:52:51 Reading Soil Box #1
2020-02-13 02:52:51 Reading Soil Box #2
2020-02-13 02:52:51 Reading Soil Box #3
2020-02-13 02:52:52 Reading Soil Box #4
2020-02-13 02:52:52 Reading Soil Box #1
2020-02-13 02:52:52 Reading Soil Box #2
2020-02-13 02:52:53 Reading Soil Box #3
2020-02-13 02:52:53 Reading Soil Box #4
2020-02-13 02:52:53 Reading Soil Box #1
2020-02-13 02:52:53 Reading Soil Box #2
2020-02-13 02:52:54 Reading Soil Box #3
2020-02-13 02:52:54 Reading Soil Box #4
2020-02-13 02:52:54 Reading Soil Box #1
2020-02-13 02:52:54 Reading Soil Box #2
2020-02-13 02:52:55 Reading Soil Box #3
2020-02-13 02:52:55 Reading Soil Box #4
2020-02-13 02:52:55 Reading Soil Box #1
2020-02-13 02:52:55 Reading Soil Box #2
2020-02-13 02:52:56 Reading Soil Box #3
2020-02-13 02:52:56 Reading Soil Box #4
2020-02-13 02:52:56 Reading Soil Box #1
2020-02-13 02:52:56 Reading Soil Box #2
2020-02-13 02:52:57 Reading Soil Box #3
2020-02-13 02:52:57 Reading Soil Box #4
2020-02-13 02:52:57 Reading Soil Box #1
2020-02-13 02:52:57 Reading Soil Box #2
2020-02-13 02:52:58 Reading Soil Box #3
2020-02-13 02:52:58 Reading Soil Box #4
2020-02-13 02:52:58 Reading Soil Box #1
2020-02-13 02:52:58 Reading Soil Box #2
2020-02-13 02:52:59 Reading Soil Box #3
2020-02-13 02:52:59 Reading Soil Box #4
2020-02-13 02:52:59 Reading Soil Box #1
2020-02-13 02:53:00 Reading Soil Box #2
2020-02-13 02:53:00 Reading Soil Box #3
2020-02-13 02:53:00 Reading Soil Box #4
2020-02-13 02:53:00 Reading Soil Box #1
2020-02-13 02:53:01 Reading Soil Box #2
2020-02-13 02:53:01 Reading Soil Box #3
2020-02-13 02:53:01 Reading Soil Box #4
2020-02-13 02:53:01 Reading Soil Box #1
2020-02-13 02:53:02 Reading Soil Box #2
2020-02-13 02:53:02 Reading Soil Box #3
2020-02-13 02:53:02 Reading Soil Box #4
2020-02-13 02:53:02 Reading Soil Box #1
2020-02-13 02:53:03 Reading Soil Box #2
2020-02-13 02:53:03 Reading Soil Box #3
2020-02-13 02:53:03 Reading Soil Box #4
2020-02-13 02:53:03 Reading Soil Box #1
2020-02-13 02:53:04 Reading Soil Box #2
2020-02-13 02:53:04 Reading Soil Box #3
2020-02-13 02:53:04 Reading Soil Box #4
2020-02-13 02:53:04 Reading Soil Box #1
2020-02-13 02:53:05 Reading Soil Box #2
2020-02-13 02:53:05 Reading Soil Box #3
2020-02-13 02:53:05 Reading Soil Box #4
2020-02-13 02:53:05 Reading Soil Box #1
2020-02-13 02:53:06 Reading Soil Box #2
2020-02-13 02:53:06 Reading Soil Box #3
2020-02-13 02:53:06 Reading Soil Box #4
2020-02-13 02:53:06 Reading Soil Box #1
2020-02-13 02:53:07 Reading Soil Box #2
2020-02-13 02:53:07 Reading Soil Box #3
2020-02-13 02:53:07 Reading Soil Box #4
2020-02-13 02:53:08 Reading Soil Box #1
2020-02-13 02:53:08 Reading Soil Box #2
2020-02-13 02:53:08 Reading Soil Box #3
2020-02-13 02:53:08 Reading Soil Box #4
2020-02-13 02:53:09 Reading Soil Box #1
2020-02-13 02:53:09 Reading Soil Box #2
2020-02-13 02:53:09 Reading Soil Box #3
2020-02-13 02:53:09 Reading Soil Box #4
2020-02-13 02:53:10 Reading Soil Box #1
2020-02-13 02:53:10 Reading Soil Box #2
2020-02-13 02:53:10 Reading Soil Box #3
2020-02-13 02:53:10 Reading Soil Box #4
2020-02-13 02:53:11 Reading Soil Box #1
2020-02-13 02:53:11 Reading Soil Box #2
2020-02-13 02:53:11 Reading Soil Box #3
2020-02-13 02:53:11 Reading Soil Box #4
2020-02-13 02:53:12 Reading Soil Box #1
2020-02-13 02:53:12 Reading Soil Box #2
2020-02-13 02:53:12 Reading Soil Box #3
2020-02-13 02:53:12 Reading Soil Box #4
2020-02-13 02:53:13 Reading Soil Box #1
2020-02-13 02:53:13 Reading Soil Box #2
2020-02-13 02:53:13 Reading Soil Box #3
2020-02-13 02:53:13 Reading Soil Box #4
2020-02-13 02:53:14 Reading Soil Box #1
2020-02-13 02:53:14 Reading Soil Box #2
2020-02-13 02:53:14 Reading Soil Box #3
2020-02-13 02:53:15 Reading Soil Box #4
2020-02-13 02:53:15 Reading Soil Box #1
2020-02-13 02:53:15 Reading Soil Box #2
2020-02-13 02:53:15 Reading Soil Box #3
2020-02-13 02:53:16 Reading Soil Box #4
2020-02-13 02:53:16 Reading Soil Box #1
2020-02-13 02:53:16 Reading Soil Box #2
2020-02-13 02:53:16 Reading Soil Box #3
2020-02-13 02:53:17 Reading Soil Box #4
2020-02-13 02:53:17 Reading Soil Box #1
2020-02-13 02:53:17 Reading Soil Box #2
2020-02-13 02:53:17 Reading Soil Box #3
2020-02-13 02:53:18 Reading Soil Box #4
2020-02-13 02:53:18 Reading Soil Box #1
2020-02-13 02:53:18 Reading Soil Box #2
2020-02-13 02:53:18 Reading Soil Box #3
2020-02-13 02:53:19 Reading Soil Box #4
2020-02-13 02:53:19 Reading Soil Box #1
2020-02-13 02:53:19 Reading Soil Box #2
Program Terminated at 2020-02-13 02:53:19
Elapsed Time: 29.524 seconds

Began Switching at 2020-02-13 02:55:55
2020-02-13 02:55:55 Reading Soil Box #1
2020-02-13 02:55:55 Reading Soil Box #2
2020-02-13 02:55:56 Reading Soil Box #3
2020-02-13 02:55:56 Reading Soil Box #4
2020-02-13 02:55:56 Reading Soil Box #1
2020-02-13 02:55:56 Reading Soil Box #2
2020-02-13 02:55:57 Reading Soil Box #3
2020-02-13 02:55:57 Reading Soil Box #4
2020-02-13 02:55:57 Reading Soil Box #1
2020-02-13 02:55:57 Reading Soil Box #2
2020-02-13 02:55:58 Reading Soil Box #3
2020-02-13 02:55:58 Reading Soil Box #4
2020-02-13 02:55:58 Reading Soil Box #1
2020-02-13 02:55:58 Reading Soil Box #2
2020-02-13 02:55:59 Reading Soil Box #3
2020-02-13 02:55:59 Reading Soil Box #4
2020-02-13 02:55:59 Reading Soil Box #1
2020-02-13 02:55:59 Reading Soil Box #2
2020-02-13 02:56:00 Reading Soil Box #3
2020-02-13 02:56:00 Reading Soil Box #4
2020-02-13 02:56:00 Reading Soil Box #1
Program Terminated at 2020-02-13 02:56:00
Elapsed Time: 5.286 seconds

Began Switching at 2020-02-13 02:56:09
2020-02-13 02:56:09 Reading Soil Box #1
2020-02-13 02:56:09 Reading Soil Box #2
2020-02-13 02:56:09 Reading Soil Box #3
2020-02-13 02:56:10 Reading Soil Box #4
2020-02-13 02:56:10 Reading Soil Box #1
2020-02-13 02:56:10 Reading Soil Box #2
2020-02-13 02:56:10 Reading Soil Box #3
2020-02-13 02:56:11 Reading Soil Box #4
2020-02-13 02:56:11 Reading Soil Box #1
2020-02-13 02:56:11 Reading Soil Box #2
2020-02-13 02:56:11 Reading Soil Box #3
2020-02-13 02:56:12 Reading Soil Box #4
2020-02-13 02:56:12 Reading Soil Box #1
2020-02-13 02:56:12 Reading Soil Box #2
2020-02-13 02:56:12 Reading Soil Box #3
2020-02-13 02:56:13 Reading Soil Box #4
2020-02-13 02:56:13 Reading Soil Box #1
2020-02-13 02:56:13 Reading Soil Box #2
2020-02-13 02:56:13 Reading Soil Box #3
2020-02-13 02:56:14 Reading Soil Box #4
2020-02-13 02:56:14 Reading Soil Box #1
2020-02-13 02:56:14 Reading Soil Box #2
2020-02-13 02:56:14 Reading Soil Box #3
2020-02-13 02:56:15 Reading Soil Box #4
Program Terminated at 2020-02-13 02:56:15
Elapsed Time: 5.83 seconds

Began Switching at 2020-02-13 02:56:28
2020-02-13 02:56:28 Reading Soil Box #1
2020-02-13 02:56:29 Reading Soil Box #2
2020-02-13 02:56:30 Reading Soil Box #3
2020-02-13 02:56:31 Reading Soil Box #4
2020-02-13 02:56:32 Reading Soil Box #1
2020-02-13 02:56:33 Reading Soil Box #2
2020-02-13 02:56:34 Reading Soil Box #3
2020-02-13 02:56:35 Reading Soil Box #4
2020-02-13 02:56:36 Reading Soil Box #1
2020-02-13 02:56:37 Reading Soil Box #2
2020-02-13 02:56:38 Reading Soil Box #3
2020-02-13 02:56:39 Reading Soil Box #4
2020-02-13 02:56:40 Reading Soil Box #1
2020-02-13 02:56:41 Reading Soil Box #2
2020-02-13 02:56:42 Reading Soil Box #3
2020-02-13 02:56:43 Reading Soil Box #4
2020-02-13 02:56:44 Reading Soil Box #1
2020-02-13 02:56:45 Reading Soil Box #2
2020-02-13 02:56:46 Reading Soil Box #3
2020-02-13 02:56:47 Reading Soil Box #4
2020-02-13 02:56:48 Reading Soil Box #1
2020-02-13 02:56:49 Reading Soil Box #2
2020-02-13 02:56:50 Reading Soil Box #3
2020-02-13 02:56:51 Reading Soil Box #4
Program Terminated at 2020-02-13 02:56:52
Elapsed Time: 23.338 seconds

Began Switching at 2020-02-13 03:00:01
2020-02-13 03:00:01 Reading Soil Box #1
2020-02-13 03:00:02 Reading Soil Box #2
2020-02-13 03:00:03 Reading Soil Box #3
2020-02-13 03:00:04 Reading Soil Box #4
2020-02-13 03:00:05 Reading Soil Box #1
